,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
229,100000,1,1,10000,TRUE,7,ohe,1.648808759,,,13,237.6062696
230,100000,1,1,10000,TRUE,7,lmm,1.255731054,1.127095819,1.01833117,48,885.9332514
231,100000,1,1,10000,TRUE,7,ignore,2.119323385,,,21,148.8533688
232,100000,1,1,10000,TRUE,7,embed,1.619714357,,,14,139.6163552
233,100000,1,1,10000,TRUE,8,ohe,1.677798806,,,13,232.541466
234,100000,1,1,10000,TRUE,8,lmm,1.233664273,1.110251427,1.019319057,45,838.9426577
235,100000,1,1,10000,TRUE,8,ignore,2.083654243,,,50,352.8586972
236,100000,1,1,10000,TRUE,8,embed,1.641629139,,,14,147.3313293
237,100000,1,1,10000,TRUE,9,ohe,1.693280364,,,12,208.8290865
238,100000,1,1,10000,TRUE,9,lmm,1.245174868,1.100579023,1.012893558,60,1116.933325
239,100000,1,1,10000,TRUE,9,ignore,2.093602964,,,30,210.4485753
240,100000,1,1,10000,TRUE,9,embed,1.704958721,,,14,141.5400167
241,100000,1,10,100,TRUE,0,ohe,1.464237126,,,37,266.27672
242,100000,1,10,100,TRUE,0,lmm,1.132012162,1.195369363,7.768012047,61,993.5999284
243,100000,1,10,100,TRUE,0,ignore,9.014907084,,,39,275.5757487
244,100000,1,10,100,TRUE,0,embed,1.533419335,,,19,191.6027348
245,100000,1,10,100,TRUE,1,ohe,1.572937656,,,22,159.024502
246,100000,1,10,100,TRUE,1,lmm,1.094976024,1.166740179,9.568586349,92,1497.846498
247,100000,1,10,100,TRUE,1,ignore,10.85441454,,,17,118.4132178
248,100000,1,10,100,TRUE,1,embed,1.406518121,,,37,368.368304
249,100000,1,10,100,TRUE,2,ohe,1.876208018,,,43,308.5831192
250,100000,1,10,100,TRUE,2,lmm,1.193214192,1.122796416,8.488801003,69,1119.298893
251,100000,1,10,100,TRUE,2,ignore,9.669521253,,,26,186.5903854
252,100000,1,10,100,TRUE,2,embed,1.551752577,,,66,655.9579625
253,100000,1,10,100,TRUE,3,ohe,1.642605441,,,37,267.4122133
254,100000,1,10,100,TRUE,3,lmm,1.164763533,1.189531207,10.27903557,51,828.7033002
255,100000,1,10,100,TRUE,3,ignore,11.70251828,,,23,163.1793365
256,100000,1,10,100,TRUE,3,embed,1.787132908,,,28,280.1741166
257,100000,1,10,100,TRUE,4,ohe,1.480730428,,,41,295.351367
258,100000,1,10,100,TRUE,4,lmm,1.220052173,1.185245752,8.260336876,55,898.5788658
259,100000,1,10,100,TRUE,4,ignore,9.623614755,,,23,163.3860259
260,100000,1,10,100,TRUE,4,embed,1.569792684,,,18,178.648401
261,100000,1,10,100,TRUE,5,ohe,1.451063593,,,15,108.4498367
262,100000,1,10,100,TRUE,5,lmm,1.128975504,1.180366516,7.736890316,64,1035.60975
263,100000,1,10,100,TRUE,5,ignore,8.707992677,,,45,316.9227655
264,100000,1,10,100,TRUE,5,embed,1.479082116,,,30,289.3451536
265,100000,1,10,100,TRUE,6,ohe,1.64496369,,,14,102.3481381
266,100000,1,10,100,TRUE,6,lmm,1.107429715,1.157822013,9.880455017,86,1403.408849
267,100000,1,10,100,TRUE,6,ignore,10.9938728,,,34,241.430192
268,100000,1,10,100,TRUE,6,embed,1.648849125,,,13,125.4668226
269,100000,1,10,100,TRUE,7,ohe,1.540175551,,,30,217.9016151
270,100000,1,10,100,TRUE,7,lmm,1.111083394,1.131091952,10.54294205,101,1639.808827
271,100000,1,10,100,TRUE,7,ignore,11.70790434,,,23,162.1025732
272,100000,1,10,100,TRUE,7,embed,1.703186524,,,15,152.9357603
273,100000,1,10,100,TRUE,8,ohe,1.328274435,,,30,216.0545325
274,100000,1,10,100,TRUE,8,lmm,1.17159808,1.217204571,8.584999084,53,863.8083785
275,100000,1,10,100,TRUE,8,ignore,9.747912407,,,32,227.2668204
276,100000,1,10,100,TRUE,8,embed,1.382670999,,,34,341.5436103
277,100000,1,10,100,TRUE,9,ohe,1.586463434,,,33,241.8297696
278,100000,1,10,100,TRUE,9,lmm,1.20665759,1.200275779,11.33542252,60,983.7857268
279,100000,1,10,100,TRUE,9,ignore,12.51580246,,,37,262.2214143
280,100000,1,10,100,TRUE,9,embed,1.669802111,,,24,235.2618668
281,100000,1,10,1000,TRUE,0,ohe,1.726781526,,,15,133.0912955
282,100000,1,10,1000,TRUE,0,lmm,1.192923893,1.247698545,9.998411179,74,1228.122887
283,100000,1,10,1000,TRUE,0,ignore,11.22964673,,,17,121.6417522
284,100000,1,10,1000,TRUE,0,embed,1.887175952,,,38,367.4511266
285,100000,1,10,1000,TRUE,1,ohe,1.80276904,,,27,237.502142
286,100000,1,10,1000,TRUE,1,lmm,1.328395149,1.318122149,10.32449627,210,3485.613683
287,100000,1,10,1000,TRUE,1,ignore,11.77058573,,,22,155.1003873
288,100000,1,10,1000,TRUE,1,embed,1.729868587,,,15,151.550209
289,100000,1,10,1000,TRUE,2,ohe,1.759343536,,,14,124.7348366
290,100000,1,10,1000,TRUE,2,lmm,1.162614464,1.208418489,9.786333084,63,1044.867548
291,100000,1,10,1000,TRUE,2,ignore,11.01920413,,,25,142.6634862
292,100000,1,10,1000,TRUE,2,embed,1.685097617,,,34,301.4567595
293,100000,1,10,1000,TRUE,3,ohe,1.674794717,,,13,80.14871573
294,100000,1,10,1000,TRUE,3,lmm,1.212353071,1.288417101,10.07479,180,2166.576077
295,100000,1,10,1000,TRUE,3,ignore,11.42513251,,,21,119.0990956
296,100000,1,10,1000,TRUE,3,embed,1.695137857,,,16,136.9038012
297,100000,1,10,1000,TRUE,4,ohe,1.789165822,,,13,76.83644676
298,100000,1,10,1000,TRUE,4,lmm,1.235616502,1.281169534,10.47510242,73,725.6594522
299,100000,1,10,1000,TRUE,4,ignore,12.13412352,,,21,120.1725967
300,100000,1,10,1000,TRUE,4,embed,2.017260179,,,26,217.7696843
301,100000,1,10,1000,TRUE,5,ohe,1.619291698,,,27,189.2303309
302,100000,1,10,1000,TRUE,5,lmm,1.262240225,1.231782436,9.664675713,82,1372.757432
303,100000,1,10,1000,TRUE,5,ignore,10.99787827,,,31,217.939554
304,100000,1,10,1000,TRUE,5,embed,1.712349959,,,44,451.104301
305,100000,1,10,1000,TRUE,6,ohe,1.773086532,,,29,254.9969714
306,100000,1,10,1000,TRUE,6,lmm,1.181470134,1.268935204,9.980334282,90,1494.393314
