,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
147,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,lmm,1.2813917,1.1085073,2.9368856,0.89283293,1.3230343,0.38107258,-0.043416325,30,111.0847321
148,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,lmm,1.257072334,1.0922573,3.0484254,0.5765544,2.1712995,0.17085385,0.502843,76,273.9962971
149,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,lmm,1.249828733,1.1205642,3.008859,0.7009316,2.6484015,0.3162599,0.25297984,55,203.2706306
150,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,lmm,1.250051866,1.1265441,2.9656012,0.27579156,3.254448,0.23142134,0.27037445,70,254.1646426
151,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,lmm,1.287085928,1.111727,3.0046406,2.7531035,1.8740577,0.30528158,0.16749881,52,191.391026
152,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,lmm,1.266137821,1.1096865,3.055027,2.7564712,1.965715,0.25627908,0.34711313,80,288.6418033
153,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,lmm,1.25015413,1.1022216,2.9579697,2.5904653,1.4755282,0.41268924,-0.06394984,66,240.4664714
154,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,lmm,1.26484734,1.1218951,3.0234292,2.7782674,2.02026,0.29489487,0.09521393,59,215.6381977
155,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,lmm,1.297011184,1.1081488,2.979973,2.6620703,1.5790005,0.30934885,0.06931765,57,208.024893
156,slopes,100000,1,3,3,3,10000,0.3,0.3,0,lmm,1.276934279,1.1171927,2.9936697,3.066828,3.0209491,0.35487086,0.18197607,38,143.2209628
157,slopes,100000,1,3,3,3,10000,0.3,0.3,1,lmm,1.313495606,1.1183608,3.0197806,3.092244,4.115171,0.29794887,0.27839857,71,254.7667561
158,slopes,100000,1,3,3,3,10000,0.3,0.3,2,lmm,1.283229262,1.1213138,3.0781167,2.7874374,3.6804864,0.32223693,0.3437302,44,160.9042351
