,mode,N,sig2e,sig2b0,sig2b1,q0,spatial_embed_out_dim,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
,spatial_embedded,100000,1,0.1,10,10000,1000,1,ohe,1.550670641,,,,12,88.27724767
,spatial_embedded,100000,1,0.1,10,10000,1000,1,lmm,1.103991247,1.12178266,0.120543726,,59,336.7031567
,spatial_embedded,100000,1,0.1,10,10000,1000,1,ignore,1.183174667,,,,49,81.95699859
,spatial_embedded,100000,1,0.1,10,10000,1000,1,embed,1.593064709,,,,15,42.13132334
,spatial_embedded,100000,1,1,0.1,10000,1000,0,ohe,1.68069915,,,,15,104.1418087
,spatial_embedded,100000,1,1,0.1,10000,1000,0,lmm,,,,,16,98.1346364
,spatial_embedded,100000,1,1,0.1,10000,1000,0,ignore,2.209156818,,,,18,30.02293205
,spatial_embedded,100000,1,1,0.1,10000,1000,0,embed,1.702480514,,,,18,52.15653944
,spatial_embedded,100000,1,1,0.1,10000,1000,1,ohe,1.692002017,,,,14,100.6323955
,spatial_embedded,100000,1,1,0.1,10000,1000,1,lmm,1.464185536,1.264549375,0.358001679,,101,570.4844408
,spatial_embedded,100000,1,1,0.1,10000,1000,1,ignore,2.285820004,,,,26,44.27370906
,spatial_embedded,100000,1,1,0.1,10000,1000,1,embed,1.765722986,,,,22,66.96360373
,spatial_embedded,100000,1,1,1,10000,1000,0,ohe,1.627585402,,,,13,93.53725529
,spatial_embedded,100000,1,1,1,10000,1000,0,lmm,1.162395828,0.945343852,0.035155948,,77,434.6025648
,spatial_embedded,100000,1,1,1,10000,1000,0,ignore,1.797612135,,,,22,37.98415685
,spatial_embedded,100000,1,1,1,10000,1000,0,embed,1.632136887,,,,17,46.31406283
,spatial_embedded,100000,1,1,1,10000,1000,1,ohe,1.691035738,,,,15,103.0617268
,spatial_embedded,100000,1,1,1,10000,1000,1,lmm,1.14453864,1.020409584,0.005963522,,51,290.1808004
,spatial_embedded,100000,1,1,1,10000,1000,1,ignore,1.708486224,,,,65,107.4999893
,spatial_embedded,100000,1,1,1,10000,1000,1,embed,1.66713265,,,,20,54.47372746
,spatial_embedded,100000,1,1,10,10000,1000,0,ohe,1.639696342,,,,14,99.86498117
,spatial_embedded,100000,1,1,10,10000,1000,0,lmm,1.146535211,1.083251119,0.029924897,,52,294.8910089
,spatial_embedded,100000,1,1,10,10000,1000,0,ignore,1.404983208,,,,23,38.49753284
,spatial_embedded,100000,1,1,10,10000,1000,0,embed,1.793546788,,,,18,49.90371609
,spatial_embedded,100000,1,1,10,10000,1000,1,ohe,1.688920036,,,,14,99.88740778
,spatial_embedded,100000,1,1,10,10000,1000,1,lmm,1.08113016,1.090069294,0.01534593,,46,262.1112599
,spatial_embedded,100000,1,1,10,10000,1000,1,ignore,1.531674912,,,,22,37.09697843
,spatial_embedded,100000,1,1,10,10000,1000,1,embed,1.731568024,,,,17,46.87465549
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ohe,1.23185657,,,,33,60.10181832
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,lmm,1.241420082,1.291629434,0.437130064,,20,123.7006669
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,ignore,1.217834436,,,,59,100.4752908
,spatial_embedded,100000,1,0.1,0.1,100,1000,0,embed,1.179737902,,,,22,56.03623343
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,ohe,1.214664074,,,,22,38.29832435
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,lmm,1.172547753,1.264656305,0.773989856,,28,164.016047
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,ignore,1.246477451,,,,45,75.36587381
,spatial_embedded,100000,1,0.1,0.1,100,1000,1,embed,1.190178398,,,,34,86.50194263
,spatial_embedded,100000,1,0.1,1,100,1000,0,ohe,1.20184683,,,,19,33.15594125
,spatial_embedded,100000,1,0.1,1,100,1000,0,lmm,1.150031587,1.136112928,0.161009938,,69,385.9030726
,spatial_embedded,100000,1,0.1,1,100,1000,0,ignore,1.331499202,,,,21,36.1502037
,spatial_embedded,100000,1,0.1,1,100,1000,0,embed,1.235889499,,,,32,81.14824915
,spatial_embedded,100000,1,0.1,1,100,1000,1,ohe,1.167734848,,,,32,55.09541893
,spatial_embedded,100000,1,0.1,1,100,1000,1,lmm,1.138886738,1.132213831,0.174119413,,43,245.395174
,spatial_embedded,100000,1,0.1,1,100,1000,1,ignore,1.243251514,,,,26,43.88730025
,spatial_embedded,100000,1,0.1,1,100,1000,1,embed,1.19181807,,,,20,51.0619421
,spatial_embedded,100000,1,0.1,10,100,1000,0,ohe,1.16544683,,,,30,51.94793916
,spatial_embedded,100000,1,0.1,10,100,1000,0,lmm,1.077245984,1.103909373,0.115366064,,75,418.7857687
,spatial_embedded,100000,1,0.1,10,100,1000,0,ignore,1.339982085,,,,19,32.94830275
,spatial_embedded,100000,1,0.1,10,100,1000,0,embed,1.228631056,,,,22,56.8120575
,spatial_embedded,100000,1,0.1,10,100,1000,1,ohe,1.285259503,,,,28,48.99384928
,spatial_embedded,100000,1,0.1,10,100,1000,1,lmm,1.125480923,1.121828675,0.0846356,,38,216.7732816
,spatial_embedded,100000,1,0.1,10,100,1000,1,ignore,1.175676998,,,,50,84.12756658
,spatial_embedded,100000,1,0.1,10,100,1000,1,embed,1.194587092,,,,22,57.90338945
,spatial_embedded,100000,1,1,0.1,100,1000,0,ohe,1.238124419,,,,31,54.72950721
,spatial_embedded,100000,1,1,0.1,100,1000,0,lmm,1.099822638,1.129904985,0.072745137,,33,189.0398693
,spatial_embedded,100000,1,1,0.1,100,1000,0,ignore,1.57537754,,,,66,111.8947175
,spatial_embedded,100000,1,1,0.1,100,1000,0,embed,1.362447012,,,,25,65.56783295
,spatial_embedded,100000,1,1,0.1,100,1000,1,ohe,1.288711886,,,,19,32.90177464
,spatial_embedded,100000,1,1,0.1,100,1000,1,lmm,1.109313231,1.045059919,0.016567592,,94,525.5415258
,spatial_embedded,100000,1,1,0.1,100,1000,1,ignore,1.723531344,,,,57,94.9869225
,spatial_embedded,100000,1,1,0.1,100,1000,1,embed,1.238698568,,,,24,63.63779211
,spatial_embedded,100000,1,1,1,100,1000,0,ohe,1.22180214,,,,30,52.24135232
,spatial_embedded,100000,1,1,1,100,1000,0,lmm,1.068493951,1.117204905,0.015053987,,34,195.5318143
,spatial_embedded,100000,1,1,1,100,1000,0,ignore,1.459994517,,,,32,55.1886127
,spatial_embedded,100000,1,1,1,100,1000,0,embed,1.24615943,,,,25,65.88410282
