,mode,N,sig2e,sig2b0,sig2b1,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
235,spatial_embedded,10000,1,0.1,10,1000,2,embed,1.876350691,,,,58,20.47556758
236,spatial_embedded,10000,1,0.1,10,1000,3,ohe,1.926857969,,,,22,7.160915136
237,spatial_embedded,10000,1,0.1,10,1000,3,lmm,1.217041962,1.172436833,0.654846489,,71,45.81178284
238,spatial_embedded,10000,1,0.1,10,1000,3,ignore,1.345374963,,,,81,17.381989
239,spatial_embedded,10000,1,0.1,10,1000,3,embed,2.138860192,,,,87,27.72974706
240,spatial_embedded,10000,1,0.1,10,1000,4,ohe,2.010137189,,,,25,7.602214575
241,spatial_embedded,10000,1,0.1,10,1000,4,lmm,1.17862973,1.200961232,0.634812951,,69,44.60727501
242,spatial_embedded,10000,1,0.1,10,1000,4,ignore,1.274446463,,,,46,10.08544374
243,spatial_embedded,10000,1,0.1,10,1000,4,embed,2.649700401,,,,25,9.247663498
244,spatial_embedded,10000,1,1,0.1,1000,0,ohe,2.796877425,,,,29,8.527172327
245,spatial_embedded,10000,1,1,0.1,1000,0,lmm,1.933414916,1.813430429,0.909578264,,49,32.88261867
246,spatial_embedded,10000,1,1,0.1,1000,0,ignore,2.262300263,,,,78,16.56612277
247,spatial_embedded,10000,1,1,0.1,1000,0,embed,2.05842608,,,,76,24.38221741
248,spatial_embedded,10000,1,1,0.1,1000,1,ohe,2.277083036,,,,31,9.097782135
249,spatial_embedded,10000,1,1,0.1,1000,1,lmm,1.869084177,1.584320545,0.780752778,,57,36.67403579
250,spatial_embedded,10000,1,1,0.1,1000,1,ignore,2.424082576,,,,65,14.33341789
251,spatial_embedded,10000,1,1,0.1,1000,1,embed,1.926121371,,,,77,23.64676762
252,spatial_embedded,10000,1,1,0.1,1000,2,ohe,2.030605116,,,,29,8.204441309
253,spatial_embedded,10000,1,1,0.1,1000,2,lmm,1.90134576,1.532642603,0.835616827,,69,44.71939635
254,spatial_embedded,10000,1,1,0.1,1000,2,ignore,2.325950862,,,,78,15.578197
255,spatial_embedded,10000,1,1,0.1,1000,2,embed,1.97154084,,,,75,22.88175011
256,spatial_embedded,10000,1,1,0.1,1000,3,ohe,2.20438659,,,,42,11.0149529
257,spatial_embedded,10000,1,1,0.1,1000,3,lmm,1.833546292,1.796328425,0.875145614,,48,31.42939615
258,spatial_embedded,10000,1,1,0.1,1000,3,ignore,2.189377996,,,,125,24.82494664
259,spatial_embedded,10000,1,1,0.1,1000,3,embed,1.890119065,,,,60,18.39481163
260,spatial_embedded,10000,1,1,0.1,1000,4,ohe,2.469216233,,,,36,9.814943552
261,spatial_embedded,10000,1,1,0.1,1000,4,lmm,1.710823543,1.50040853,1.028128266,,76,48.46621799
262,spatial_embedded,10000,1,1,0.1,1000,4,ignore,2.198923943,,,,86,17.55316496
263,spatial_embedded,10000,1,1,0.1,1000,4,embed,2.062174123,,,,82,26.73276949
264,spatial_embedded,10000,1,1,1,1000,0,ohe,2.398912828,,,,40,10.65996408
265,spatial_embedded,10000,1,1,1,1000,0,lmm,1.296302428,0.969827414,0.466735452,,64,41.84508967
266,spatial_embedded,10000,1,1,1,1000,0,ignore,1.981351371,,,,110,21.7860713
267,spatial_embedded,10000,1,1,1,1000,0,embed,2.791038726,,,,32,10.80471301
