,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
297,spatial,100000,1,10,0.1,1000,3,embed,1.928756696,,,,36,61.10160303
298,spatial,100000,1,10,0.1,1000,4,ohe,1.736955545,,,,16,29.15494156
299,spatial,100000,1,10,0.1,1000,4,ignore,9.047831171,,,,94,117.9170046
300,spatial,100000,1,10,0.1,1000,4,embed,1.841268405,,,,47,79.12892747
301,spatial,100000,1,10,0.1,10000,0,ohe,2.272102241,,,,15,92.03448629
302,spatial,100000,1,10,0.1,10000,0,ignore,10.07415042,,,,109,136.9263978
303,spatial,100000,1,10,0.1,10000,0,embed,2.286627194,,,,31,53.16400886
304,spatial,100000,1,10,0.1,10000,1,ohe,2.221806181,,,,16,94.12602639
305,spatial,100000,1,10,0.1,10000,1,ignore,10.13214027,,,,100,128.350471
306,spatial,100000,1,10,0.1,10000,1,embed,2.284156981,,,,27,46.47039604
307,spatial,100000,1,10,0.1,10000,2,ohe,2.423962942,,,,18,99.53749156
308,spatial,100000,1,10,0.1,10000,2,ignore,10.21285787,,,,72,90.86739826
309,spatial,100000,1,10,0.1,10000,2,embed,2.631266869,,,,35,59.81253767
310,spatial,100000,1,10,0.1,10000,3,ohe,2.42496733,,,,14,89.39859843
311,spatial,100000,1,10,0.1,10000,3,ignore,10.1964605,,,,133,169.8351238
312,spatial,100000,1,10,0.1,10000,3,embed,2.446930687,,,,22,38.69341302
313,spatial,100000,1,10,0.1,10000,4,ohe,2.319353436,,,,17,96.8357234
314,spatial,100000,1,10,0.1,10000,4,ignore,10.25574979,,,,45,57.23360395
315,spatial,100000,1,10,0.1,10000,4,embed,2.584375111,,,,37,63.54178762
316,spatial,100000,1,10,1,100,0,ohe,1.516332111,,,,33,43.60014987
317,spatial,100000,1,10,1,100,0,ignore,2.062789159,,,,60,76.71897292
318,spatial,100000,1,10,1,100,0,embed,1.738130738,,,,58,97.61012197
319,spatial,100000,1,10,1,100,1,ohe,1.68320067,,,,24,32.29968381
320,spatial,100000,1,10,1,100,1,ignore,2.008356197,,,,54,69.41468954
321,spatial,100000,1,10,1,100,1,embed,1.728253173,,,,27,46.4068284
322,spatial,100000,1,10,1,100,2,ohe,1.570227216,,,,56,72.55048347
323,spatial,100000,1,10,1,100,2,ignore,2.211553489,,,,43,54.77681637
