,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
158,slopes,100000,1,3,3,3,10000,0.3,0.3,2,lmm,1.505377741,1.1097589,2.9800236,2.7586102,2.7628937,0.3389405,0.27063134,56,206.0929079
159,slopes,100000,1,3,3,3,10000,0.3,0.3,3,lmm,1.435489636,1.1191472,2.9836147,3.4418716,3.7433996,0.30465534,0.19935167,61,224.7757285
160,slopes,100000,1,3,3,3,10000,0.3,0.3,4,lmm,1.511781125,1.1421192,2.8909373,2.600525,2.486137,0.55053943,-0.09339006,38,140.2313619
161,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,lme4,3.403892823,2.917654341,0.324578175,1.086482599,17.0172563,0.432218032,-0.618953083,0,95.29526901
162,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,lme4,3.445491653,2.902367815,0.316990096,2.734753867,2.646613348,-0.1738915,-0.284978354,0,28.14629793
163,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,lme4,3.421446816,2.900803201,0.315562034,0.064010279,50.43694486,0.999999723,-0.293993015,0,129.990778
164,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,lme4,3.479620576,2.881656531,0.355308758,2.203352358,1.33635264,-0.880273828,0.962062277,0,124.7146912
165,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,lme4,3.14247702,2.866642088,0.301211226,0.735274565,9.012633802,0.999949851,-0.997929343,0,126.3554499
166,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,lme4,3.494244578,2.910730987,0.296680186,1.359977346,1.407176555,NA,0.99997397,0,41.7990458
167,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,1,lme4,3.402091611,2.922774056,0.266559501,0.489108168,1.251562034,1,-1,0,88.29262996
168,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,lme4,3.278677045,2.925556003,0.315504602,1.73343774,10.74247263,-0.999999681,0.998414032,0,84.92467999
169,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,lme4,3.466312194,2.878539445,0.349012193,2.996837855,2.943573438,-0.999676644,0.999999894,0,123.4749279
170,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,lme4,3.561833682,2.868533204,0.314710721,0.001340644,27.84254857,-0.999727754,0.429417517,0,76.0831871
171,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,lme4,3.584778856,2.878911883,0.304696374,3.247760579,0.01690622,0.263096564,-0.904936933,0,59.97385883
172,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,lme4,3.575553729,2.911397154,0.316110737,5.920651279,0.165583666,NA,0.998990954,0,49.08696508
173,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,lme4,3.568431271,2.948507148,0.356844232,2.657199352,42.26793345,-0.175991196,0.841991,0,133.9277589
174,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,lme4,3.513032684,2.898444533,0.268835539,3.015165561,17.10709509,0.999920561,-0.995415227,0,75.7229991
175,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,lme4,3.782529965,2.890330543,0.292213476,0.77133451,29.989457,1,NA,0,43.67496514
176,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,lme4,3.706776911,2.911853656,0.31103181,2.4122053,59.27598388,0.530265345,-0.463390747,0,91.65505004
177,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,lme4,3.80914914,2.887704157,0.366778981,3.846151934,17.21796431,-0.952749527,0.987634483,0,124.3713641
178,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,lme4,3.74983739,2.869973123,0.310391093,6.475778251,0.260710734,0.548497151,-0.999999668,0,71.01208115
179,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,lme4,3.774832406,2.909761257,0.329893068,5.011990162,5.540461174,NA,0.773384966,0,38.19259596
180,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,lme4,3.417463781,2.908752459,0.272721644,2.718129303,39.10454055,0.999999993,-0.999989312,0,92.82399797
181,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,lme4,5.727576866,2.863315729,3.025354016,0.327711858,18.10802057,-0.26517363,0.119277855,0,69.87701488
182,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,lme4,5.681530376,2.917144507,2.999982492,0.926484252,0.589610203,0.62476474,0.116754926,0,60.44796395
183,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,lme4,3.689303406,2.886196221,3.057448082,1.302136605,0.278285239,0.163611442,0.292149852,0,74.74393296
184,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,lme4,4.709618571,2.868852429,3.028522372,0.192587566,31.68120934,-1,0.999890937,0,128.686151
185,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,lme4,3.39934327,2.886742307,2.966246228,2.508823591,4.170683794,0.011380208,0.798313604,0,54.73003101
186,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,lme4,3.759263555,2.960653799,3.016802674,0.430197965,15.0324132,-0.396504082,0.6585529,0,113.2239671
187,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,lme4,3.904917735,2.901850916,3.032732139,0.007747211,29.18704277,-0.999999645,0.246532416,0,64.68172097
188,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,lme4,6.122058084,2.876525033,2.955323956,0.581793284,55.96213325,0.293060358,0.776328449,0,63.61700606
189,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,lme4,4.523175318,2.898634336,2.942840756,1.598323874,29.15350696,0.577227452,-0.082484235,0,55.11339021
190,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,lme4,5.323219266,2.946282932,3.064378516,2.30E-04,36.93248033,-1,0.494190672,0,43.90504599
191,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,lme4,4.440385982,2.903597586,2.884693979,5.036912957,11.58823614,0.999987342,-0.999999993,0,69.87137318
192,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,lme4,3.913072429,2.887918318,3.023106326,2.864749933,27.5102307,0.529334313,-0.095666618,0,43.52414513
193,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,lme4,5.290652911,2.8863063,2.899741925,3.841871264,10.11244019,0.296744298,-0.139255416,0,39.29500103
194,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,lme4,5.861131032,2.912017777,3.092385259,5.720506722,17.1700514,0.643817412,0.350727289,0,40.675035
195,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,lme4,6.353932577,2.903964759,3.057039705,0.222165219,91.12504123,1,NA,0,48.996032
196,slopes,100000,1,3,3,3,10000,0.3,0.3,0,lme4,3.550069765,2.908943184,2.891162586,2.844180232,1.799101783,0.96072803,-0.958853956,0,98.44699883
197,slopes,100000,1,3,3,3,10000,0.3,0.3,1,lme4,4.537931228,2.920149003,2.902121727,4.8031608,0.48991195,0.797931229,-0.999999986,0,128.1580019
