,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
183,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,lme4,3.123966828,2.917539739,44.10061614,12.33144987,16.93967265,0,4.710741997
184,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,lme4,3.060011805,2.882371338,48.92072954,9.803826838,16.92876181,0,5.06487608
185,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,lme4,3.148056456,2.891052055,38.67238705,11.13173403,14.85457575,0,4.247359991
186,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,lme4,3.205147407,2.916947932,60.44272002,9.961755313,164.7605392,0,7.226222992
187,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,lme4,3.128522658,2.89235564,37.41983594,9.613252595,156.1809988,0,7.385864019
188,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,lme4,3.237350539,2.97228377,34.69932927,11.35493256,167.2151585,0,5.993699074
189,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,lme4,3.230629538,2.922512042,62.46832473,9.883474256,146.4098567,0,7.934913874
190,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,lme4,3.141288446,2.895880441,53.90237051,9.318002661,159.540867,0,6.457943916
191,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,lme4,3.082904165,2.864876491,47.86405602,96.62937328,16.38972833,0,6.731274128
192,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,lme4,3.096450469,2.895210224,53.79756966,107.3981944,17.87517333,0,5.659601927
193,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,lme4,3.155922902,2.858586437,59.22131476,85.19560429,16.42205,0,6.880647182
194,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,lme4,3.114904013,2.90983916,49.26295573,105.7255712,15.9572228,0,5.894995928
195,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,lme4,3.202053912,2.869521086,45.85125734,88.11421572,14.72972475,0,5.135910988
196,intercepts,100000,1,3,3,3,1000,2000,3000,0,lme4,3.237420037,2.897464249,50.64719688,95.07836267,172.5197534,0,6.951736212
197,intercepts,100000,1,3,3,3,1000,2000,3000,1,lme4,3.141860108,2.893666877,40.33144205,103.1979481,184.1689771,0,5.725950956
198,intercepts,100000,1,3,3,3,1000,2000,3000,2,lme4,3.199643832,2.928514591,50.08301724,95.63948397,170.1851407,0,6.619099855
199,intercepts,100000,1,3,3,3,1000,2000,3000,3,lme4,3.25408863,2.939622606,64.91138392,107.2512998,162.2431043,0,7.97416997
200,intercepts,100000,1,3,3,3,1000,2000,3000,4,lme4,3.21037462,2.902600926,48.3245663,88.71258436,157.300379,0,5.21747303
