epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
10,2,53.78735733,3.7441547,5.2679963,8.199565,8.259009,10.385776,-0.11699848,-0.06697899,-0.007654838,-0.02126801,-0.06137979,0.3191176,0.0838292,54.32261276
11,2,53.48916626,3.6267202,5.0787063,7.9886913,8.041353,10.100331,-0.20277089,-0.07387751,-0.024021685,0.000261664,-0.07785174,0.32408857,0.019577801,53.66901016
12,2,53.24882126,3.4851444,4.89889,7.7096457,7.7846384,9.783538,-0.17815286,-0.05403602,-0.023801893,0.012180328,-0.06374377,0.30118415,0.36778128,53.51832962
13,2,52.98570251,3.3476489,4.724477,7.3921103,7.5342207,9.45122,-0.19249357,-0.1292932,-0.08962226,-0.04668045,-0.06200075,0.32332292,-0.5758922,53.5981636
14,2,52.8248291,3.2569163,4.5717344,7.1949887,7.3174586,9.210071,-0.28191248,-0.109814465,-0.10003404,-0.1046412,-0.12511963,0.304951,-1.1228223,53.20427704
15,2,52.64236069,3.1603565,4.3977966,6.964612,7.0834093,8.918912,0.009786367,0.08029795,0.052511007,0.012900114,-0.039189816,0.31966066,1.0946088,52.75035095
16,2,52.4769783,3.0442686,4.2986712,6.779863,6.8680634,8.707731,0.023717046,0.000222445,-0.007748187,0.016577959,-0.02305007,0.2656488,0.20221296,53.00780106
17,2,52.38085175,2.9240322,4.153717,6.5410237,6.641933,8.433608,-0.06373924,-0.062073052,0.015442401,-0.007747173,0.030973833,0.3338465,0.7499363,52.73619461
18,2,52.20908737,2.8609216,3.9754627,6.333302,6.4818606,8.195631,-0.03925836,-0.11900735,0.05812314,0.002010584,-0.07759619,0.31326485,0.4658777,52.91456985
19,2,52.09805679,2.717865,3.8623543,6.1402006,6.325466,8.033092,0.009316921,-0.23710203,-0.0656496,0.07753539,-0.05434236,0.29704508,0.36407176,52.72262573
20,2,52.0245285,2.6599376,3.7379634,5.961735,6.1197953,7.8379908,-0.20800328,-0.17208278,-0.071049094,-0.13548768,-0.09688747,0.313341,-1.0758699,52.59315491
21,2,51.90877151,2.5489995,3.6359532,5.836159,5.981282,7.6119175,-0.30544448,-0.062521696,-0.025334835,-0.14187789,-0.034440756,0.29530045,-0.73782104,52.32004547
22,2,51.77670288,2.4905915,3.5073566,5.717446,5.830438,7.3979187,-0.18859053,-0.093899906,0.03036958,0.005533367,0.008552074,0.31206498,0.4089148,52.44372177
23,2,51.70141602,2.4209263,3.4475436,5.603287,5.70329,7.271583,-0.34915972,-0.09878039,-0.12797308,-0.055415154,-0.09724152,0.33077335,-1.8796958,52.02669907
24,2,51.60476685,2.335762,3.3220894,5.4030437,5.532566,7.05844,-0.13174742,0.09777868,0.07705045,-0.028430343,-0.047080606,0.31108394,0.88373375,52.2076416
25,2,51.55899429,2.2900648,3.255281,5.3127475,5.4581256,6.977102,-0.20308232,-0.077638865,-0.034749985,-0.036943913,-0.099957705,0.32342592,-1.4500742,51.95331192
26,2,51.47969437,2.2605283,3.2019427,5.189639,5.34822,6.8306623,0.025017262,0.107662916,0.1306375,0.009724021,-0.048155308,0.36333343,1.4819546,51.95970154
27,2,51.33997726,2.1876378,3.1051447,5.074397,5.220277,6.6837883,-0.11019486,0.11394775,0.12075214,-0.06986374,0.046768904,0.3277284,1.4914547,51.76583862
28,2,51.27610779,2.1230872,3.0377011,4.969457,5.107048,6.5325294,-0.22333968,-0.007231057,-0.15090448,-0.1113458,-0.055581927,0.31403294,-0.686289,51.84809875
29,2,51.25152206,2.0510876,2.9669466,4.8480034,4.9811172,6.426968,-0.13619065,-0.07309866,-0.11292744,-0.024037361,-0.07933164,0.28927866,-0.27383018,51.75077057
30,2,51.22377014,1.9949298,2.9071653,4.756731,4.9312215,6.278823,-0.25950056,-0.11497319,0.017352313,0.13809323,-0.007820249,0.3215342,-0.19195896,51.78258133
31,2,51.15190125,1.9554224,2.8474526,4.6491184,4.80793,6.177658,-0.055107713,-0.08357954,-0.03386545,0.025805354,-0.062198997,0.32399395,0.20282568,51.83056259
32,2,51.09229279,1.9345984,2.740362,4.5304575,4.69655,6.040621,-0.021583676,-0.039301395,0.10116172,0.004241943,-0.08088565,0.3050979,-0.034092963,51.51630402
33,2,50.92199707,1.8853525,2.7216873,4.4614754,4.61254,5.924001,-0.175461,-0.05803919,-0.0785256,-0.16058993,-0.13467315,0.286014,-1.87897,51.77461243
34,2,50.96587372,1.811881,2.6676416,4.388358,4.5247555,5.804687,-0.11016798,-0.23911,0.0785037,-0.00974083,-0.11434734,0.2846575,0.07893449,51.34505463
35,2,50.91003036,1.8008742,2.5889347,4.2905345,4.4621243,5.6920652,0.013479769,0.065116584,0.06741643,-0.032527894,-0.006152034,0.2916464,0.6073438,51.24115372
36,2,50.84640503,1.7755034,2.5846512,4.2421227,4.3512855,5.600319,-0.11312175,0.003685594,0.097145855,0.049070537,0.009263158,0.29607627,0.5382475,51.57466888
37,2,50.76712799,1.7396303,2.5127199,4.1447845,4.3135195,5.520077,-0.16842556,-0.24941254,-0.012268424,-0.23648214,-0.030467033,0.27997184,-1.8930324,51.32960892
38,2,50.74364853,1.6750394,2.4316516,4.065422,4.2245917,5.389497,-0.41901463,-0.32102585,-0.0786041,-0.08472633,-0.34282088,0.28061378,-2.8938677,51.19393158
39,2,50.66397858,1.6545029,2.3882844,3.9914742,4.1327267,5.3093038,-0.057766438,-0.09007406,-0.041198134,0.109230995,-0.1379385,0.3259777,-0.58937514,51.12112427
40,2,50.59163666,1.6215609,2.349819,3.9476109,4.0684834,5.2322183,-0.16439271,-0.011187792,-0.08656454,-0.08194375,-0.20661336,0.31998098,-0.20730941,51.14896011
41,2,50.55982208,1.5838,2.3247268,3.8667238,4.0363555,5.156683,-0.09794426,-0.06292868,0.09237948,-0.065095425,-0.11443758,0.29496455,0.35526615,51.10954666
42,2,50.53286743,1.5691792,2.282109,3.797115,3.9529214,5.0727735,-0.053305626,0.30419135,0.082491845,0.13937283,0.03887449,0.33239394,1.4885402,50.97921371
43,2,50.53972626,1.5438637,2.2641857,3.7578313,3.9070492,5.0431542,-0.08682209,-0.042402208,0.04205966,0.012200445,-0.0976572,0.32893398,0.55411935,50.93468857
44,2,50.42042542,1.4945383,2.203716,3.7174459,3.8492296,4.94363,-0.05264902,-0.11010432,0.11441761,0.002182484,-0.03457403,0.2788723,0.053343132,51.03705978
45,2,50.40511703,1.476345,2.1846602,3.6171846,3.7775702,4.86092,0.049254894,0.024168015,0.1412853,0.044920444,0.06558039,0.26026064,1.5739691,50.99670792
46,2,50.35556793,1.4496441,2.128251,3.5425675,3.6972725,4.7430053,-0.14139438,0.039494038,0.081677824,0.10139036,-0.089575544,0.29271007,0.882902,50.83170319
47,2,50.34784698,1.4387267,2.0960267,3.527388,3.6506104,4.6750994,-0.5081033,0.018933058,-0.027714014,-0.012627125,-0.029532522,0.2967802,-0.5367757,50.92827225
48,2,50.30810928,1.4319204,2.0893667,3.476142,3.61079,4.6492333,-0.09692997,0.073533535,0.18513605,0.17095852,0.039011538,0.30908304,1.4976733,50.83813858
