location,n
804,1
511,1
302,1
178,1
38,1
2755,1
2630,1
98,1
2162,1
1027,1
2191,1
2648,1
520,1
769,1
854,1
1737,1
852,1
420,1
1101,1
1849,1
2875,1
807,1
366,1
275,1
1738,1
325,1
1100,1
661,1
2489,1
1398,1
148,1
153,1
380,1
510,1
599,1
598,1
1107,1
1036,1
616,1
70,1
619,1
1518,1
348,1
1661,1
855,1
2824,1
2432,1
2645,1
1519,1
2269,1
2240,1
2712,1
2320,1
2669,1
55,1
5,1
2016,1
1648,1
2524,1
138,1
1265,1
2623,1
642,1
2479,1
160,1
2298,1
1208,1
2193,1
975,1
2732,1
893,1
80,1
2684,1
1971,1
2431,1
355,1
132,1
557,1
2582,1
407,1
2794,1
2237,1
1569,1
1925,1
470,1
393,1
1335,1
1969,1
19,1
2579,1
436,1
2151,1
2709,1
315,1
1461,1
481,1
2239,1
200,1
124,1
357,1
1972,1
384,1
2504,1
1405,1
1576,1
1033,1
2867,1
2753,1
2323,1
1627,1
1727,1
890,1
56,1
2266,1
806,1
1825,1
1360,1
1374,1
222,1
2664,1
2265,1
30,1
2759,1
247,1
2557,1
1025,1
1973,1
2740,1
2413,1
478,1
1572,1
2341,1
696,1
359,1
501,1
939,1
1365,1
1869,1
288,1
1732,1
1501,1
2798,1
1153,1
2116,1
1575,1
2868,1
1409,1
608,1
293,1
2317,1
1308,1
1729,1
409,1
1554,1
2639,1
1211,1
2687,1
1212,1
2358,1
2063,1
1024,1
305,1
2475,1
485,1
697,1
205,1
337,1
2571,1
2160,1
1357,1
2319,1
938,1
2572,1
805,1
2695,1
360,1
1154,1
2232,1
2845,1
1875,1
1777,1
931,1
294,1
2548,1
1552,1
473,1
2670,1
401,1
2270,1
79,1
2236,1
1881,1
133,1
130,1
2719,1
2297,1
1679,1
444,1
1199,1
482,1
2805,1
768,1
1056,1
732,1
321,1
607,1
77,1
2597,1
1198,1
237,1
990,1
1728,1
2322,1
1462,1
1571,1
1555,1
4,1
2877,1
128,1
2734,1
565,1
2628,1
1264,1
2841,1
2823,1
257,1
2158,1
1457,1
1712,1
2451,1
1626,1
543,1
224,1
2720,1
2196,1
2860,1
139,1
2238,1
1970,1
465,1
2374,1
2315,1
2551,1
2787,1
1537,1
505,1
324,1
2114,1
882,1
447,1
281,1
1035,1
2580,1
1309,1
558,1
1578,1
36,1
945,1
1193,1
406,1
2111,1
1138,1
1731,1
1029,1
40,1
212,1
356,1
1562,1
1406,1
2558,1
2197,1
413,1
611,1
134,1
184,1
408,1
1465,1
1776,1
2022,1
1820,1
146,1
1730,1
2202,1
605,1
1623,1
1677,1
1031,1
763,1
887,1
2068,1
219,1
2375,1
2879,1
29,1
2069,1
2529,1
256,1
2472,1
2713,1
220,1
817,1
283,1
2693,1
438,1
1089,1
934,1
43,1
437,1
2840,1
2333,1
2150,1
1317,1
131,1
2299,1
2296,1
2754,1
174,1
2559,1
1630,1
549,1
1803,1
2199,1
2835,1
651,1
2792,1
2155,1
2858,1
2747,1
1570,1
2667,1
255,1
2216,1
803,1
1579,1
106,1
309,1
2530,1
816,1
1504,1
2583,1
857,1
936,1
856,1
905,1
2438,1
2356,1
1499,1
2008,1
1016,1
151,1
34,1
46,1
641,1
604,1
771,1
1784,1
2629,1
295,1
610,1
1918,1
1296,1
155,1
2642,1
1835,1
550,1
2741,1
157,1
2674,1
2604,1
937,1
416,1
1307,1
2847,1
1993,1
2476,1
2149,1
2318,1
802,1
1497,1
1844,1
1355,1
1200,1
253,1
1968,1
1382,1
2653,1
1871,1
1500,1
2647,1
1137,1
221,1
333,1
849,1
2797,1
2627,1
2161,1
2779,1
379,1
2861,1
2874,1
252,1
2287,1
274,1
929,1
316,1
2618,1
2531,1
2439,1
2339,1
2849,1
367,1
655,1
2652,1
2651,1
2467,1
334,1
815,1
895,1
42,1
1723,1
37,1
2452,1
443,1
1097,1
2099,1
2102,1
1713,1
169,1
297,1
1761,1
1310,1
1800,1
2625,1
1410,1
472,1
2872,1
446,1
243,1
2392,1
383,1
1042,1
1086,1
2268,1
2007,1
158,1
923,1
387,1
1361,1
547,1
1826,1
2230,1
18,1
2705,1
1622,1
1770,1
1804,1
1463,1
135,1
362,1
352,1
2553,1
2481,1
525,1
60,1
108,1
410,1
515,1
211,1
442,1
1460,1
86,1
2113,1
1876,1
1512,1
903,1
2788,1
2697,1
236,1
1313,1
125,1
2859,1
571,1
150,1
2015,1
292,1
1266,1
2295,1
110,1
1671,1
2264,1
175,1
1577,1
2484,1
1192,1
89,1
2554,1
654,1
2195,1
2234,1
2357,1
1673,1
2864,1
2321,1
2310,1
1152,1
59,1
2839,1
687,1
2021,1
317,1
210,1
2009,1
2271,1
894,1
943,1
480,1
1680,1
2598,1
2067,1
2710,1
149,1
1927,1
