album,n
1412,2
1415,2
10987,2
1421,2
10983,2
10982,2
1428,2
13267,2
1385,2
21318,2
5888,2
1329,2
5916,2
11054,2
11053,2
1340,2
1341,2
5912,2
1349,2
1351,2
17499,2
5899,2
11031,2
5897,2
1371,2
1378,2
7390,2
1241,2
13045,2
16388,2
1110,2
6038,2
13079,2
16393,2
1121,2
13088,2
13091,2
13094,2
16373,2
13096,2
1137,2
11211,2
11210,2
11208,2
13101,2
17392,2
7327,2
1106,2
11239,2
17375,2
17353,2
1065,2
1066,2
11263,2
17358,2
17360,2
13056,2
21565,2
17362,2
17368,2
6050,2
7321,2
6048,2
7323,2
7324,2
11196,2
17404,2
5970,2
11147,2
13147,2
5984,2
1210,2
1212,2
21457,2
1215,2
16350,2
13154,2
13115,2
11142,2
7380,2
16345,2
13160,2
1231,2
1233,2
11134,2
1204,2
13143,2
17426,2
11162,2
13118,2
11187,2
17409,2
1168,2
17411,2
11177,2
17418,2
13132,2
1184,2
11171,2
13133,2
1189,2
17421,2
16359,2
11164,2
21918,2
11604,2
5858,2
6668,2
6687,2
214,2
6680,2
6935,2
6936,2
6674,2
12402,2
6941,2
6945,2
16902,2
12005,2
16904,2
6662,2
6659,2
6658,2
6656,2
16708,2
6689,2
16885,2
203,2
16867,2
6716,2
16868,2
6714,2
6711,2
16872,2
6923,2
6924,2
6925,2
6701,2
22375,2
6926,2
16881,2
6695,2
16882,2
6655,2
6651,2
16864,2
16946,2
16679,2
6617,2
16676,2
6615,2
16944,2
12465,2
6610,2
16674,2
16909,2
303,2
22271,2
309,2
6981,2
11936,2
6983,2
16955,2
16680,2
6968,2
16682,2
279,2
16911,2
252,2
11987,2
16697,2
11984,2
16917,2
16690,2
16922,2
16688,2
6959,2
6961,2
6962,2
275,2
16685,2
11963,2
16865,2
6917,2
16962,2
16798,2
12248,2
6817,2
16792,2
60,2
16797,2
62,2
63,2
16799,2
6780,2
16805,2
16806,2
12275,2
16807,2
16809,2
89,2
16735,2
6819,2
16788,2
12245,2
6823,2
6852,2
3,2
16762,2
6857,2
16759,2
16777,2
6838,2
6832,2
6829,2
27,2
12183,2
16754,2
12179,2
22511,2
37,2
91,2
6891,2
6915,2
22409,2
6739,2
16850,2
144,2
6736,2
6734,2
151,2
6733,2
22407,2
12300,2
6911,2
6913,2
164,2
12346,2
16716,2
6726,2
16859,2
16849,2
6741,2
6744,2
134,2
105,2
12303,2
6768,2
6767,2
16829,2
16730,2
6895,2
16832,2
117,2
6899,2
6754,2
12320,2
16844,2
16724,2
16846,2
11927,2
16963,2
11608,2
6392,2
16582,2
6398,2
16580,2
17098,2
6394,2
16579,2
578,2
16578,2
12700,2
11703,2
583,2
584,2
17101,2
7096,2
6388,2
589,2
566,2
17093,2
11717,2
6403,2
17073,2
16592,2
6421,2
11739,2
11738,2
6418,2
7080,2
7081,2
16589,2
7085,2
17087,2
11724,2
555,2
17091,2
11721,2
11692,2
12702,2
11749,2
6341,2
12740,2
12741,2
12743,2
6349,2
12750,2
12752,2
12755,2
21956,2
601,2
6340,2
17135,2
6336,2
11620,2
21941,2
7130,2
6328,2
12739,2
11650,2
12735,2
6358,2
12703,2
7104,2
17112,2
6374,2
12712,2
11677,2
12713,2
7109,2
7110,2
6370,2
6365,2
12724,2
16564,2
16563,2
7117,2
7074,2
526,2
6990,2
16632,2
6538,2
16640,2
6528,2
17002,2
17004,2
17007,2
12557,2
16631,2
7038,2
16629,2
12565,2
6513,2
12568,2
6511,2
17016,2
16626,2
390,2
6542,2
6544,2
12532,2
11920,2
16965,2
6578,2
16659,2
6572,2
11904,2
352,2
11902,2
11896,2
363,2
16649,2
7011,2
7012,2
6553,2
16645,2
16625,2
6505,2
17067,2
16603,2
6463,2
11780,2
11779,2
6454,2
7058,2
497,2
17054,2
505,2
432,2
17060,2
6438,2
6437,2
7069,2
516,2
17066,2
520,2
16614,2
474,2
6469,2
16616,2
16624,2
434,2
6503,2
17021,2
6500,2
16622,2
442,2
7043,2
17027,2
6491,2
17030,2
6489,2
16618,2
466,2
7048,2
17531,2
18958,2
1983,2
1987,2
1968,2
1866,2
1507,2
17727,2
5559,2
10791,2
13428,2
1868,2
7560,2
5726,2
1613,2
5685,2
17648,2
20969,2
5624,2
1735,2
1616,2
10932,2
10788,2
1513,2
1957,2
13403,2
1515,2
1516,2
1955,2
5762,2
7558,2
1520,2
1668,2
7516,2
1541,2
5630,2
1549,2
1484,2
1485,2
1550,2
1490,2
1491,2
17613,2
5672,2
1498,2
17551,2
1675,2
10595,2
10797,2
10689,2
1674,2
5769,2
10912,2
1981,2
21031,2
17734,2
1501,2
1671,2
13429,2
1974,2
10938,2
5678,2
5728,2
21037,2
17729,2
20910,2
16209,2
17721,2
1640,2
13420,2
21153,2
16206,2
5705,2
1907,2
1531,2
1532,2
16205,2
1537,2
5612,2
5753,2
1649,2
1885,2
1899,2
1912,2
5601,2
1896,2
1647,2
1646,2
5604,2
1643,2
16146,2
5606,2
1534,2
21075,2
5607,2
5609,2
5710,2
1744,2
17700,2
5571,2
1929,2
16149,2
17641,2
1625,2
21059,2
13406,2
1666,2
1524,2
13407,2
1825,2
5751,2
5575,2
17718,2
5616,2
13408,2
17625,2
13424,2
17716,2
16207,2
1923,2
1921,2
1762,2
1919,2
1630,2
17635,2
1632,2
1658,2
17712,2
5704,2
5836,2
5610,2
1722,2
10574,2
1693,2
1450,2
1451,2
17757,2
13674,2
5649,2
2015,2
5847,2
1834,2
13672,2
5742,2
13442,2
1836,2
13455,2
10902,2
1709,2
1603,2
1838,2
1721,2
16233,2
1682,2
17592,2
21013,2
13456,2
1464,2
