location,n
4166,16
5656,16
4113,16
9310,16
8232,16
3864,16
6678,16
11472,16
9285,16
10546,16
7875,16
959,16
10192,16
2181,16
11303,16
3364,16
11973,16
4581,16
10616,16
2894,16
2700,16
1049,16
3756,16
6266,16
2468,16
5337,16
2558,16
9832,16
432,16
8379,16
4068,16
11567,16
4256,16
9380,16
5781,16
9368,16
2126,16
11521,16
4390,16
5289,16
3369,16
1401,16
2790,16
11735,16
4368,16
6222,16
374,16
4217,16
3745,16
4074,16
3578,15
9358,15
8095,15
6874,15
6200,15
1966,15
7833,15
1509,15
342,15
5795,15
9742,15
2462,15
7237,15
9565,15
7701,15
9318,15
2573,15
5454,15
2706,15
2382,15
860,15
2567,15
10856,15
11365,15
9954,15
10066,15
800,15
1664,15
1855,15
1083,15
2329,15
11010,15
4918,15
5318,15
2110,15
12092,15
9446,15
61,15
2816,15
668,15
4296,15
5959,15
4983,15
4831,15
5751,15
10594,15
11989,15
9798,15
4932,15
5258,15
6682,15
12197,15
8339,15
3671,15
7725,15
4259,15
9230,15
3951,15
3274,15
747,15
4222,15
9624,15
1840,15
2434,15
10496,15
3862,15
11163,15
8927,15
8320,15
10172,15
3286,15
276,15
1770,15
3835,14
39,14
10399,14
79,14
4671,14
4809,14
1251,14
3797,14
11872,14
1397,14
4283,14
8047,14
3786,14
10140,14
4865,14
539,14
8784,14
9852,14
4339,14
10391,14
9710,14
12072,14
1340,14
10385,14
931,14
3988,14
10573,14
12101,14
1139,14
1905,14
7221,14
8302,14
5551,14
4035,14
9221,14
10004,14
10609,14
8353,14
10850,14
10113,14
9415,14
9045,14
9729,14
5510,14
6530,14
1949,14
8520,14
11354,14
8539,14
8694,14
8862,14
2849,14
5588,14
11843,14
11990,14
8446,14
2004,14
4636,14
12071,14
11793,14
7740,14
11536,14
5147,14
6165,14
4718,14
9858,14
6010,14
9589,14
7393,14
7576,14
8767,14
9237,14
7112,14
7751,14
1970,14
4269,14
10361,14
5499,14
10352,14
5900,14
9364,14
6939,14
10223,14
7818,14
10927,14
10553,14
7746,14
8031,14
4484,14
1504,14
2684,14
725,14
2359,14
9320,14
12078,14
5766,14
8798,14
7380,14
11559,14
1833,14
1802,14
1447,14
6531,14
8464,14
10889,14
1140,14
4968,13
4493,13
11888,13
2171,13
4384,13
6723,13
2833,13
1430,13
7407,13
7571,13
951,13
6829,13
5743,13
2104,13
3840,13
2461,13
8842,13
5633,13
11981,13
5099,13
5532,13
10335,13
10030,13
1631,13
11499,13
6868,13
5121,13
7014,13
2082,13
7018,13
8852,13
7820,13
12056,13
3527,13
11627,13
9060,13
4379,13
4626,13
3583,13
10788,13
5506,13
9153,13
2775,13
2677,13
11631,13
8866,13
2275,13
2074,13
7773,13
5562,13
5763,13
8456,13
2446,13
5525,13
9594,13
9744,13
5183,13
3473,13
58,13
12166,13
5494,13
4241,13
11212,13
1475,13
5797,13
11496,13
635,13
2318,13
4480,13
4459,13
9449,13
9892,13
1256,13
2975,13
9746,13
11489,13
2068,13
2163,13
1233,13
2557,13
5951,13
8298,13
6836,13
6536,13
4372,13
2553,13
10126,13
782,13
2389,13
3693,13
2352,13
11509,13
8819,13
2619,13
3474,13
3925,13
3970,13
1222,13
7967,13
8870,13
2929,13
5832,13
3490,13
2695,13
8415,13
2013,13
10031,13
8083,13
6314,13
5544,13
5375,13
5704,13
8317,13
3099,13
9445,13
2585,13
5703,13
2393,13
11447,13
5980,13
4986,13
4777,13
1954,13
12091,13
9696,13
3747,12
4646,12
8257,12
3580,12
1159,12
7403,12
10940,12
11344,12
